District,Total_Fodder_Tons,Total_Demand_Tons,Balance_Tons,Status,Deficit_Percentage
SRI SATYASAI,0.0,1800929.6,-1800929.6,DEFICIT,-100.0
PALNADU,0.0,1701896.3,-1701896.3,DEFICIT,-100.0
ELURU,0.0,1665749.5,-1665749.5,DEFICIT,-100.0
ALLURI SITARAMA RAJU,0.0,1409566.7000000002,-1409566.7000000002,DEFICIT,-100.0
NANDYAL,0.0,1381420.2,-1381420.2,DEFICIT,-100.0
PRAKASAM,1058386.6892857142,2427896.2,-1369509.510714286,DEFICIT,-56.407251294939456
TIRUPATI,0.0,1347164.0000000002,-1347164.0000000002,DEFICIT,-100.0
ANNAMAYYA,0.0,1336268.5000000002,-1336268.5000000002,DEFICIT,-100.0
BAPATLA,0.0,1242353.8000000005,-1242353.8000000005,DEFICIT,-100.0
KAKINADA,0.0,1105806.8,-1105806.8,DEFICIT,-100.0
ANAKAPALLI,0.0,1023363.2,-1023363.2,DEFICIT,-100.0
NTR,0.0,804089.5000000001,-804089.5000000001,DEFICIT,-100.0
KADAPA,690073.425,1481487.2000000002,-791413.7750000001,DEFICIT,-53.42022361043687
PARVATHIPURAMMANYAM,0.0,719676.6,-719676.6,DEFICIT,-100.0
KADAPA,776278.05,1481487.2000000002,-705209.1500000001,DEFICIT,-47.60143388346521
DRBRAMBEDKARKONASEEMA,0.0,647000.6000000001,-647000.6000000001,DEFICIT,-100.0
NELLORE,1498806.825,1905278.4,-406471.57499999995,DEFICIT,-21.33397276744438
ANANTAPUR,1861637.775,1930220.4,-68582.625,DEFICIT,-3.5530981332494465
NELLORE,1900713.94375,1905278.4,-4564.456249999814,DEFICIT,-0.23956899159722875
CHITTOOR,1394315.007142857,1324876.6,69438.40714285686,SURPLUS,5.2411226179749
ANANTAPUR,2128261.45,1930220.4,198041.05000000028,SURPLUS,10.260022637829353
SRIKAKULAM,2130032.5964285717,1826780.2,303252.3964285718,SURPLUS,16.600376795663312
ANANTAPUR,2234020.30625,1930220.4,303799.90625,SURPLUS,15.739130425209474
VIZIANAGARAM,1648201.9642857146,1134477.0,513724.96428571455,SURPLUS,45.28297746765378
NELLORE,2706983.65,1905278.4,801705.25,SURPLUS,42.07811572314051
KURNOOL,2046555.4392857144,1201229.6,845325.8392857143,SURPLUS,70.37171239251133
VISAKHAPATNAM,1347713.1071428573,191088.9,1156624.2071428574,SURPLUS,605.2806872313658
GUNTUR,2009406.1178571428,735090.2,1274315.9178571429,SURPLUS,173.3550410353917
KRISHNA,2431801.7428571437,932936.6,1498865.1428571437,SURPLUS,160.66098627250165
EAST GODAVARI,3658528.3892857134,835828.4000000001,2822699.989285713,SURPLUS,337.7128593962245
WEST GODAVARI,3656186.914285714,543642.2,3112544.7142857136,SURPLUS,572.5355232330592
